chunk_id,doc_id,chunk_text,effective_date,exported_at
access_control_sop_1_3c49c30051f6beea,access_control_sop,Level 1 — Read Only: Áp dụng cho: Tất cả nhân viên mới trong 30 ngày đầu. Phê duyệt: Line Manager. Thời gian xử lý: 1 ngày làm việc.,2026-01-01,2026-06-10T10:02:04.845817+00:00
access_control_sop_2_0538be9c88e3d0c5,access_control_sop,Level 2 — Standard Access: Áp dụng cho: Nhân viên chính thức đã qua thử việc. Phê duyệt: Line Manager + IT Admin. Thời gian xử lý: 2 ngày làm việc.,2026-01-01,2026-06-10T10:02:04.845817+00:00
access_control_sop_3_4468da36c08c4568,access_control_sop,"Level 3 — Elevated Access: Áp dụng cho: Team Lead, Senior Engineer, Manager. Phê duyệt: Line Manager + IT Admin + IT Security. Thời gian xử lý: 3 ngày làm việc.",2026-01-01,2026-06-10T10:02:04.845817+00:00
access_control_sop_4_2ecacebcb703769d,access_control_sop,"Level 4 — Admin Access: Áp dụng cho: DevOps, SRE, IT Admin. Phê duyệt: IT Manager + CISO. Thời gian xử lý: 5 ngày làm việc. Yêu cầu thêm: Training bắt buộc về security policy.",2026-01-01,2026-06-10T10:02:04.845817+00:00
access_control_sop_5_b8e6b0539b1d769a,access_control_sop,Bước 1: Nhân viên tạo Access Request ticket trên Jira (project IT-ACCESS).,2026-01-01,2026-06-10T10:02:04.845817+00:00
access_control_sop_6_8a394fb81c774fe2,access_control_sop,Bước 2: Line Manager phê duyệt yêu cầu trong 1 ngày làm việc.,2026-01-01,2026-06-10T10:02:04.845817+00:00
access_control_sop_7_181d61d32118c831,access_control_sop,Bước 3: IT Admin kiểm tra compliance và cấp quyền.,2026-01-01,2026-06-10T10:02:04.845817+00:00
access_control_sop_8_fb5419c8d7cfcf28,access_control_sop,Bước 4: IT Security review với Level 3 và Level 4.,2026-01-01,2026-06-10T10:02:04.845817+00:00
access_control_sop_9_9739be21828b9801,access_control_sop,Bước 5: Nhân viên nhận thông báo qua email khi quyền được cấp.,2026-01-01,2026-06-10T10:02:04.845817+00:00
access_control_sop_10_27988e6ffbe34100,access_control_sop,Nhân viên nghỉ việc: Thu hồi ngay trong ngày cuối.,2026-01-01,2026-06-10T10:02:04.845817+00:00
access_control_sop_11_4ebce0d4acb18e6d,access_control_sop,Hết hạn contract: Thu hồi đúng ngày hết hạn.,2026-01-01,2026-06-10T10:02:04.845817+00:00
access_control_sop_12_24c68d0efdd1c74c,access_control_sop,Chuyển bộ phận: Điều chỉnh trong 3 ngày làm việc.,2026-01-01,2026-06-10T10:02:04.845817+00:00
